nama_aplikasi,developer,developerId,developerEmail,developerWebsite,developerAddress,score,ratings,reviews,installs,categories,appId,url,country,matched_keyword
Pinjaman Aman Indonesia,ytriso apps,ytriso+apps,hsefapetenkaya@gmail.com,,,3.912844,2086,1636,100.000+,Keuangan,aman.hiiooieioh.aydgu,https://play.google.com/store/apps/details?id=aman.hiiooieioh.aydgu&hl=id&gl=id,Indonesia,pinjaman rekening koran
IndoGold - Investasi Emas Aman,PT Indogold Makmur Sejahtera,PT+Indogold+Makmur+Sejahtera,support@indogold.id,https://www.indogold.id/,,4.19256,5283,3048,500.000+,Keuangan,antamgold.android,https://play.google.com/store/apps/details?id=antamgold.android&hl=id&gl=id,Indonesia,"cicil emas, gadai emas online"
carda app - Kartu Virtual,CARDA APP LTD,7477278610721342298,info@carda.app,https://carda.app/,,,,,10.000+,,app.carda.app,https://play.google.com/store/apps/details?id=app.carda.app&hl=id&gl=id,Indonesia,virtual credit card
eWallet,eWallet,5121824083367428058,support@ewallet.app,https://ewallet.app,,,,,5.000+,,app.ewallet.app,https://play.google.com/store/apps/details?id=app.ewallet.app&hl=id&gl=id,Indonesia,e-wallet pinjaman
Skor Cashback 10% Kartu Kredit,PT Skorcard Teknologi Indonesia,8347608295795661286,wecare@skorcard.app,https://skorcard.app,,4.391982,4441,1676,100.000+,Keuangan,app.skor.card,https://play.google.com/store/apps/details?id=app.skor.card&hl=id&gl=id,Indonesia,kartu kredit digital
"Tabby: Send, spend and save",Tabby,Tabby,help@tabby.ai,https://tabby.ai,,4.8623853,1189144,108,10.000.000+,Keuangan,app.tabby.client,https://play.google.com/store/apps/details?id=app.tabby.client&hl=id&gl=id,Indonesia,paylater
Bank Saqu,PT BANK SAQU INDONESIA,PT+BANK+SAQU+INDONESIA,dibantu@banksaqu.co.id,https://banksaqu.co.id/,,4.64189,107618,17384,5.000.000+,Keuangan,bjj.bank.digital.indo.prod,https://play.google.com/store/apps/details?id=bjj.bank.digital.indo.prod&hl=id&gl=id,Indonesia,"aplikasi kredit, kartu kredit digital, kredit tanpa agunan"
Lumbung Dana - Pinjaman Daring,PT LUMBUNG DANA INDONESIA,PT+LUMBUNG+DANA+INDONESIA,halo@lumbungdana.co.id,https://www.lumbungdana.co.id,,4.8335695,467281,112953,5.000.000+,Keuangan,co.id.lumbungdana.android,https://play.google.com/store/apps/details?id=co.id.lumbungdana.android&hl=id&gl=id,Indonesia,"aplikasi dana tunai, aplikasi kredit, aplikasi pinjaman modal usaha, dana darurat, dana pinjaman, dana talangan, dompet digital pinjaman, fintech lending, fintech pendanaan, kredit cepat cair, kredit instan, kredit multiguna, kredit tanpa agunan, peer to peer lending, pinjam uang, pinjaman cepat cair, pinjaman cepat tanpa ribet, pinjaman dana, pinjaman harian, pinjaman ibu rumah tangga, pinjaman ilegal, pinjaman instan, pinjaman karyawan, pinjaman mahasiswa, pinjaman modal kerja, pinjaman modal usaha, pinjaman multiguna, pinjaman online, pinjaman online bunga rendah, pinjaman pns, pinjol, pinjol ilegal, pinjol legal, pinjol terdaftar ojk"
Nex - Kartu Kredit & Tabungan,PT Nex Teknologi Digital,PT+Nex+Teknologi+Digital,cs@nexapp.co,https://www.nexapp.co/,,3.4,859,504,100.000+,,co.nex.app,https://play.google.com/store/apps/details?id=co.nex.app&hl=id&gl=id,Indonesia,"cicilan tanpa kartu kredit, kartu kredit digital, kredit tanpa jaminan, virtual credit card"
Agen Pegadaian Syariah,PT Pegadaian (Persero),PT+Pegadaian+(Persero),digital@pegadaian.co.id,http://pegadaiansyariah.co.id/,,4.4,584,284,100.000+,Keuangan,co.pegadaian.syariah.agen,https://play.google.com/store/apps/details?id=co.pegadaian.syariah.agen&hl=id&gl=id,Indonesia,cicil emas
Monzo Bank - Mobile Banking,Monzo,Monzo,help@monzo.com,https://monzo.com?utm_medium=paid&utm_source=playstore&utm_campaign=1,,4.3506494,178367,20,10.000.000+,Keuangan,co.uk.getmondo,https://play.google.com/store/apps/details?id=co.uk.getmondo&hl=id&gl=id,Indonesia,virtual credit card
"Xare - Share Debit,Credit card",Team Xare,Team+Xare,hello@xare.co,https://www.xare.co,,4.2,28144,4,1.000.000+,Keuangan,co.xare.tribe,https://play.google.com/store/apps/details?id=co.xare.tribe&hl=id&gl=id,Indonesia,virtual credit card
AdaKami-Pinjaman Uang Digital,PT Pembiayaan Digital Indonesia,PT+Pembiayaan+Digital+Indonesia,tanya@adakami-cs.id,https://www.adakami.id/,,4.449691,1403640,519505,10.000.000+,Keuangan,com.adakami.dana.kredit.pinjaman,https://play.google.com/store/apps/details?id=com.adakami.dana.kredit.pinjaman&hl=id&gl=id,Indonesia,"aplikasi cicilan, aplikasi kredit, aplikasi kta, aplikasi pinjaman modal usaha, aplikasi pinjaman ojk, aplikasi pinjaman online, cicilan online, dana pinjaman, fintech lending, kredit cepat cair, kredit digital, kredit instan, kredit kilat, kredit multiguna, kredit online, kredit tanpa agunan, kredit tanpa jaminan, pinjam uang, pinjam uang cepat, pinjaman cepat cair, pinjaman cepat tanpa ribet, pinjaman dana, pinjaman harian, pinjaman ilegal, pinjaman instan, pinjaman karyawan, pinjaman kilat, pinjaman ktp saja, pinjaman langsung cair, pinjaman mahasiswa, pinjaman modal kerja, pinjaman modal usaha, pinjaman multiguna, pinjaman online, pinjaman online 24 jam, pinjaman online aman, pinjaman online bunga rendah, pinjaman online legal ojk, pinjaman online resmi, pinjaman online tanpa bi checking, pinjaman online tanpa ktp, pinjaman online terdaftar ojk, pinjaman online terpercaya, pinjaman pelajar, pinjaman pns, pinjaman rekening koran, pinjaman tanpa agunan, pinjaman tanpa jaminan, pinjaman tunai, pinjaman umkm, pinjol, pinjol legal, pinjol terdaftar ojk, uang cepat, uang pinjaman"
Ada Modal-Pinjaman Uang Online,PT Solid Fintek Indonesia,PT+Solid+Fintek+Indonesia,cs@adamodal.co.id,https://www.adamodal.co.id/,,4.561583,342200,158141,10.000.000+,Keuangan,com.adamodal.fintech,https://play.google.com/store/apps/details?id=com.adamodal.fintech&hl=id&gl=id,Indonesia,"aplikasi pinjaman modal usaha, dana darurat, dana talangan, fintech lending, kredit cepat cair, peer to peer lending, pinjam uang, pinjaman dana, pinjaman gaji, pinjaman harian, pinjaman ilegal, pinjaman instan, pinjaman karyawan, pinjaman ktp saja, pinjaman mahasiswa, pinjaman modal kerja, pinjaman modal usaha, pinjaman online, pinjaman online bunga rendah, pinjaman online resmi, pinjaman usaha kecil, pinjol, pinjol legal, pinjol terdaftar ojk"
Danai.id - P2P Lending,PT Adiwisista Finansial Teknologi,PT+Adiwisista+Finansial+Teknologi,customer.care@danai.id,https://danai.id/,,3.1953125,1307,754,100.000+,Keuangan,com.adiwisista.project,https://play.google.com/store/apps/details?id=com.adiwisista.project&hl=id&gl=id,Indonesia,"p2p lending, peer to peer lending"
AEON Card,PT. AEON Credit Service Indonesia,PT.+AEON+Credit+Service+Indonesia,customercare@aeon.co.id,https://www.aeon.co.id,,2.754902,290,208,50.000+,Keuangan,com.aeoncredit.id.preassessment.creditcard,https://play.google.com/store/apps/details?id=com.aeoncredit.id.preassessment.creditcard&hl=id&gl=id,Indonesia,kartu kredit digital
AEON Fast,PT. AEON Credit Service Indonesia,PT.+AEON+Credit+Service+Indonesia,customercare@aeon.co.id,https://www.aeon.co.id,,3.846799,26205,13735,1.000.000+,Keuangan,com.aeoncredit.id.preassessment.fast,https://play.google.com/store/apps/details?id=com.aeoncredit.id.preassessment.fast&hl=id&gl=id,Indonesia,"kredit hp, kredit motor online"
KIik Pinjam-Pinjaman Daring,ZMagaba Industries,ZMagaba+Industries,zidanemagabafilechecking@gmail.com,,,4.7909966,9282,1484,100.000+,Keuangan,com.ahmadrofiul.siadin,https://play.google.com/store/apps/details?id=com.ahmadrofiul.siadin&hl=id&gl=id,Indonesia,kredit kilat
Akseleran - Pendanaan UKM,PT. Akseleran Keuangan Inklusif Indonesia,PT.+Akseleran+Keuangan+Inklusif+Indonesia,developer@akseleran.com,https://www.akseleran.com,,3.3057325,11007,7901,500.000+,Keuangan,com.akseleran.crowdfund,https://play.google.com/store/apps/details?id=com.akseleran.crowdfund&hl=id&gl=id,Indonesia,pinjaman umkm
Akulaku PayLater di Toko,PT. AKULAKU FINANCE INDONESIA,PT.+AKULAKU+FINANCE+INDONESIA,afi-app@akulaku.com,https://akulakufinance.co.id,,3.4038463,1200,720,100.000+,Keuangan,com.akulakufinance,https://play.google.com/store/apps/details?id=com.akulakufinance&hl=id&gl=id,Indonesia,"bayar nanti, belanja sekarang bayar nanti, cicilan tanpa kartu kredit, kredit hp, paylater"
Allo Bank,PT. ALLO BANK INDONESIA Tbk,PT.+ALLO+BANK+INDONESIA+Tbk,allocare@allobank.com,https://allobank.com,,4.0623426,67048,44243,10.000.000+,Keuangan,com.alloapp.yump,https://play.google.com/store/apps/details?id=com.alloapp.yump&hl=id&gl=id,Indonesia,paylater
Uang Sahabat - Dana Terpercaya,PROZINO E-COMMERCE PRIVATE LIMITED,PROZINO+E-COMMERCE+PRIVATE+LIMITED,uang-sahabat@prozinoecommerce.com,https://uangsahabat.prozinoecommerce.com,,4.828081,53896,10574,1.000.000+,Keuangan,com.amanah.uang.sahabat,https://play.google.com/store/apps/details?id=com.amanah.uang.sahabat&hl=id&gl=id,Indonesia,"aplikasi dana tunai, dana darurat, dana talangan"
"AmarthaFin: Agen Pulsa, Modal",Amartha Financial,Amartha+Financial,plus@amartha.com,https://amartha.com/amarthaplus,,4.4189525,22833,13927,1.000.000+,Keuangan,com.amarthaplus.amarthabeyond,https://play.google.com/store/apps/details?id=com.amarthaplus.amarthabeyond&hl=id&gl=id,Indonesia,"aplikasi pinjaman modal usaha, bayar nanti, fintech lending, kredit multiguna, pinjaman ktp saja, pinjaman modal kerja, pinjaman modal usaha, pinjaman multiguna, pinjaman usaha kecil"
Secure Card Wallet: Credit-NFC,App Verse,App+Verse,yuvrajsalunke226@gmail.com,https://securecardwallet.netlify.app/,,,,,1.000+,,com.appverse.securecardwallet,https://play.google.com/store/apps/details?id=com.appverse.securecardwallet&hl=id&gl=id,Indonesia,virtual credit card
SINGAFUND - Pendanaan Online,PT Abadi Sejahtera Finansindo,PT+Abadi+Sejahtera+Finansindo,cs@singa.id,https://www.singa.id/,,3.92,132,60,50.000+,Keuangan,com.asf.lender,https://play.google.com/store/apps/details?id=com.asf.lender&hl=id&gl=id,Indonesia,fintech pendanaan
Singa Fintech-Pinjaman Daring,PT Abadi Sejahtera Finansindo,PT+Abadi+Sejahtera+Finansindo,cs@singa.id,http://www.singa.id,,4.816515,1315686,369457,10.000.000+,Keuangan,com.asf.singa,https://play.google.com/store/apps/details?id=com.asf.singa&hl=id&gl=id,Indonesia,"aplikasi kredit, aplikasi pinjaman modal usaha, aplikasi pinjaman online, fintech lending, fintech pendanaan, kredit cepat cair, p2p lending, pinjam uang, pinjaman cepat cair, pinjaman cepat tanpa ribet, pinjaman dana, pinjaman harian, pinjaman ilegal, pinjaman instan, pinjaman ktp saja, pinjaman langsung cair, pinjaman mahasiswa, pinjaman multiguna, pinjaman online, pinjaman online bunga rendah, pinjaman online resmi, pinjaman online terpercaya, pinjol, pinjol legal, pinjol terdaftar ojk"
MOM by Bank Ibu,PT Assist Software Indonesia Pratama,PT+Assist+Software+Indonesia+Pratama,ncbd@assistindo.com,,,5,19,18,100+,Keuangan,com.assist.ibu,https://play.google.com/store/apps/details?id=com.assist.ibu&hl=id&gl=id,Indonesia,pinjaman ibu rumah tangga
Pinjam Bahagia: Kalkulat Pinja,Orkt Incorporated Limited,Orkt+Incorporated+Limited,modoo8855@mail.com,https://www.pinjambahagiakal.com,,4.4633775,18833,13297,500.000+,Keuangan,com.bahagia.arbeit,https://play.google.com/store/apps/details?id=com.bahagia.arbeit&hl=id&gl=id,Indonesia,pinjaman ibu rumah tangga
Bayarkilat : Jasa Bayar Online,PT. Bayarkilat Apps Indonesia,6512704224880726112,support@bayarkilat.id,https://bayarkilat.id,,4.9326925,167,161,5.000+,Belanja,com.bayarkilatid.apps,https://play.google.com/store/apps/details?id=com.bayarkilatid.apps&hl=id&gl=id,Indonesia,bayar nanti
Bleap: Finance & Crypto Card,Bleap,Bleap,hello@bleap.finance,https://www.bleap.finance,,,,,10.000+,,com.bleap,https://play.google.com/store/apps/details?id=com.bleap&hl=id&gl=id,Indonesia,virtual credit card
